Candidato,Partido,Votos
Ivo Barros,PPS,141
Djalma Nunes,PRP,141
Rinaldo Db,SD,140
Rômulo Ferreira,PSC,140
Wesly Lins,PHS,140
Alexandre Rêgo,DEM,139
Junior Segurança,REDE,136
Katharyne França,PSDB,135
Bosco Cantor,PPS,134
Taciana Valença,PC do B,134
Jacó do Povo,PMN,134
Pr. Jorge Gloriona,SD,133
Josafa Ribeiro,PMN,133
Carreta,SD,132
Salome Nunes,PTC,132
Adriano Cordeiro,PV,132
Luciano Alto Astral,PEN,131
Claudio Pm,PPL,131
Deto,PHS,130
Cibele Reis,PPS,129
Mateus Seixas,PRP,129
Professora Arlete Moreira,PRP,128
Boneco,PSC,128
João do Morro,PSDC,128
Professor Helio Cabral,PSTU,128
Paco Fonseca,PPS,127
Janaina Biru-biru,PROS,126
Júlio Salgado,PRB,125
Gilmar da Silva,PTC,124
Rocha Monteiro,PPS,124
Fabio Moura,PSDC,124
Jana Matias,SD,124
Jura da Bica O Amolado,PP,123
Gg do Gás,PSDB,123
Beto Mototáxi,PV,123
Pastor Rilton Accioly,PMN,123
Ricardo Locadora,PSC,122
Machado,PV,122
Jota Justino,SD,121
Jorge Trajano,PSDC,120
Marcos Pedro,SD,120
Marcão Firma Chicago Motors,PSDB,120
Andre Café,PTC,120
Neyff Safo,PTB,119
Adeilton Silva,PSDB,119
Tomires Souza,PSC,118
Professor Sergio Silva,PRB,117
Irmão Adriano,PSL,116
Marcos Tomaz,PMN,116
Cláudio Chicão,PPS,115
Lucélia,PV,115
Professora Telma Aguiar,PSDB,114
Dayse Helena,PRP,114
Irmã Lúcia,SD,113
Djyjo,PPS,113
Cleberson Ferreira,PPS,111
Candido,PPS,110
Luciano Silva,PRTB,110
Pindoba,SD,110
Jaqueline Mô,PSC,110
Sanderson Borges,DEM,110
Suboficial Ramos,PTC,109
Negona Tia da Tropa Ls,PROS,109
Jeremias Feitosa,PMN,109
Edson Nego Bom,PRP,108
Irmão Rivaldo Filho,PPS,108
Monica Carvalho,PMN,108
Cicero Meu Lider,PP,107
Guga Oinho,PPS,107
Jurandir Albuquerque,PMN,106
Rogerio Bessa,PV,106
Ana Sampaio,PRP,105
Luciano Felix,REDE,105
Ana Lucena,PMN,105
Erton Serafim Araujo,PHS,105
Marcos de Oliveira,PRP,104
Rosa Maria,PPS,104
Demetrius Rezende,PPS,104
Evilazio Pastor Netinho,PMN,104
Leidinha,PHS,104
Ana Viana,PSD,103
Abraão Faisca,PSC,103
Professor Santana,PV,103
Ivanildo Pedro,PMN,103
Gracinha Pinheiro,PTC,102
Marcos Bombeiro,SD,102
Cristina Ramos,PEN,102
Irmão Vevel,PSDB,101
Gustavo Figueiredo,PV,101
Marinete Machado,PRP,100
Alexandre Costa Areia,PPL,100
Eduardo Cavalcanti,PP,99
Eliane Sena,PSDB,99
Pr.francisco Silva,PHS,99
Baldoino Braga,PPL,99
Xandão,DEM,99
Jessica Luiza,PMN,99
Bruna Roxinho,PSDC,98
Joab Ferreira,PHS,97
Carlos Eduardo,PSDB,96
Mary Menezes,PT,95
Irmã Rosane,PSD,95
Lana Valentim,PV,95
Luiz Florentino Ambientalista,PRP,94
Adeilton,PP,94
Jucelia Teté,PV,94
Jeová,PSDB,93
Lucas Estevão,PSD,93
Dr. Guido,PEN,92
Sandra Braga,PC do B,92
Monica Lima,PTC,92
Sérgio dos Metalúrgicos,PSOL,92
Lourdes Florentino,PSTU,92
Adriano Melcop,PT,91
Lourdinha Nobrega,PDT,91
Luciana Barros Caniço,PRP,91
